,zone1_temperature,zone2_temperature,zone3_temperature,zone4_temperature,surface_adiabatic_1_temperature,surface_adiabatic_2_temperature,surface_adiabatic_3_temperature,surface_adiabatic_4_temperature,surface_adiabatic_5_temperature,surface_adiabatic_6_temperature,surface_adiabatic_7_temperature,surface_adiabatic_8_temperature,surface_adiabatic_9_temperature,surface_adiabatic_10_temperature,surface_adiabatic_11_temperature,surface_adiabatic_12_temperature,surface_adiabatic_13_temperature,surface_adiabatic_14_temperature,surface_adiabatic_15_temperature,surface_adiabatic_16_temperature,surface_adiabatic_17_temperature,surface_adiabatic_18_temperature,surface_adiabatic_19_temperature,surface_exterior_1_temperature,surface_exterior_2_temperature,surface_exterior_3_temperature,surface_exterior_4_temperature,surface_exterior_5_temperature,surface_exterior_6_temperature,surface_exterior_7_temperature,surface_exterior_8_temperature,surface_exterior_9_temperature,surface_interior_1_temperature,surface_interior_2_temperature,surface_interior_3_temperature
zone1_temperature,0.019127709198865698,0.00047178972574520907,0.0008206018624808269,2.217675465452663e-05,0.04043369071349907,0.007301851576378572,0.09989417285817462,0.036055438247876014,0.3549048395076185,0.3549048395076185,0.00019257435864268872,0.00016111514878901773,0.00013000626890858494,0.0020426907025980273,0.0020426907025980273,0.0015431064775858557,0.003216923036141918,0.011742744552482103,0.011742744552482105,1.1613587105156299e-05,2.2333780686884595e-05,9.501453128977e-05,9.501453128977004e-05,0.005241066132790385,2.011430340187697e-05,3.209793815865135e-05,2.9731549523136417e-06,5.946309904627286e-06,0.0007593219159065507,0.00017914055870231604,1.0432168090331344e-06,6.113250500934166e-06,0.0014303434304563695,0.011021647200959684,9.176766623987901e-05
zone2_temperature,0.0004935388974994209,0.02448754665461367,1.554376086009678e-05,0.0014893812081869435,0.00024346731864947208,4.388762831063699e-05,0.000600319458501546,0.00021667711484764162,0.0021368572952709863,0.0021368572952709854,0.03566662248629664,0.02989520835435069,0.024122899215910435,0.37835347156044585,0.3783534715604458,8.831568179696198e-06,1.8379978315124568e-05,6.720204497541713e-05,6.720204497541715e-05,0.002258563706956661,0.004350302214203774,0.01847920235460767,0.01847920235460768,3.155184847353253e-05,0.0037261032949976614,0.005946029089151626,0.000550766399562249,0.0011015327991244985,4.344986330454737e-06,1.0250767987676268e-06,0.0002029153918333597,0.0011890841961434884,0.0015941621510753203,6.595478030263674e-05,0.017099081990125917
zone3_temperature,0.005671189266421701,0.00010268921677261083,0.0023118910617228932,4.421332511705965e-06,0.005778868500315023,0.0010424679632237822,0.014260344911502404,0.005147076857827077,0.05072140485326137,0.050721404853261355,2.61602886197273e-05,2.1866954933842298e-05,1.7644779182519595e-05,0.0002774797162248835,0.0002774797162248835,0.04058633352151879,0.08479135087027645,0.3088802035069423,0.30888020350694234,1.5209360394414063e-06,2.9226144051645758e-06,1.244289391504558e-05,1.2442893915045585e-05,0.0007489695720619441,2.7321644927957203e-06,4.359924635562401e-06,4.038493518762906e-07,8.076987037525815e-07,0.01997605662855336,0.00471278632967649,1.3661017465451152e-07,8.005356234754377e-07,0.00020436711806307597,0.037628689154698046,1.2412000383288212e-05
zone4_temperature,0.0001097674936759287,0.007047072159542246,3.1665568612151904e-06,0.002590559970533418,3.349088545955892e-05,6.031997977807502e-06,8.250311767762739e-05,2.9778374249179432e-05,0.00029393127863341196,0.0002939312786334119,0.005151697818152449,0.004313020252963198,0.0034802417713630128,0.05464697005032886,0.054646970050328855,1.17118170973018e-06,2.435512004303808e-06,8.91159644648789e-06,8.91159644648789e-06,0.038602113332349475,0.07451817914837393,0.3158638726795325,0.3158638726795326,4.339781925577837e-06,0.0005381316191420696,0.0008587379382387778,7.9542833598677e-05,0.00015908566719735403,5.761534116054026e-07,1.3592712378123902e-07,0.0034689466969178096,0.020328027643938373,0.00023020234685276132,9.033603894240337e-06,0.039042827279240806
surface_adiabatic_1_temperature,0.004390462304066799,2.5271710223148592e-05,9.079627613837076e-05,7.347130293273272e-07,0.9820589229481549,0.00010489536389993924,0.0014346319465589953,0.0005178108199667135,0.005114731415464127,0.005114731415464126,2.076448896651471e-06,1.7330626398985195e-06,1.3984346555339364e-06,2.2023394109546886e-05,2.202339410954689e-05,1.890301570252746e-05,3.9291676474410966e-05,0.00014383168872362362,0.00014383168872362362,1.0560698617043595e-07,2.0270526957405986e-07,8.639405803195252e-07,8.639405803195254e-07,7.551323857293642e-05,2.1682794981229116e-07,3.460090058844706e-07,3.2049983531831894e-08,6.40999670636638e-08,9.29873287702399e-06,2.193773375847986e-06,9.484450630584729e-09,5.557888069522654e-08,2.0585331440584546e-05,0.00015587971740509195,9.707477131998818e-07
surface_adiabatic_2_temperature,0.0022111131179088288,1.270419539674381e-05,4.5677153781623235e-05,3.690314598945221e-07,0.0002925279625039001,0.9907474208842455,0.0007200944328501082,0.00025990825704246006,0.002567283809081879,0.002567283809081878,1.0415271835400707e-06,8.69285219581004e-07,7.014394913484985e-07,1.104672545349229e-05,1.1046725453492293e-05,9.483890122431e-06,1.9713073971329112e-05,7.216222809552141e-05,7.216222809552141e-05,5.295161936287008e-08,1.0163672479698621e-07,4.331820306438655e-07,4.331820306438656e-07,3.790303587420331e-05,1.087588189411169e-07,1.7355479704329056e-07,1.6075964187374752e-08,3.215192837474951e-08,4.665293977909634e-06,1.100644340965047e-06,4.7555272291651405e-09,2.786738956290774e-08,1.0332553098955784e-05,7.823832613925428e-05,4.868989319439537e-07
surface_adiabatic_3_temperature,0.002024749824246745,1.1631633985190712e-05,4.182342561346349e-05,3.3785147455398456e-07,0.00026779646772847953,4.819951939204088e-05,0.9921401127616334,0.0002379344625373307,0.002350235233299274,0.002350235233299273,9.534160050718252e-07,7.957451706290952e-07,6.420989051190051e-07,1.0112193814908586e-05,1.0112193814908586e-05,8.681751436808697e-06,1.8045754607765872e-05,6.605881252555793e-05,6.605881252555793e-05,4.847047217601244e-08,9.303547582093653e-08,3.9652304610598234e-07,3.9652304610598245e-07,3.469855863030188e-05,9.955803114372496e-08,1.5887239358983567e-07,1.4715968404351512e-08,2.9431936808703033e-08,4.270707566917634e-06,1.0075528225448834e-06,4.353080194524042e-09,2.55090499399109e-08,9.45899484996463e-06,7.162344540047445e-05,4.4570675290500214e-07
surface_adiabatic_4_temperature,0.0020247498242467444,1.1631633985190708e-05,4.1823425613463475e-05,3.378514745539845e-07,0.00026779646772847953,4.819951939204088e-05,0.0006592144620796874,0.991718832762091,0.002350235233299273,0.0023502352332992727,9.534160050718249e-07,7.957451706290951e-07,6.420989051190049e-07,1.0112193814908584e-05,1.0112193814908586e-05,8.681751436808694e-06,1.804575460776587e-05,6.605881252555791e-05,6.605881252555791e-05,4.8470472176012435e-08,9.30354758209365e-08,3.965230461059823e-07,3.965230461059824e-07,3.469855863030187e-05,9.955803114372494e-08,1.5887239358983565e-07,1.471596840435151e-08,2.943193680870303e-08,4.2707075669176325e-06,1.007552822544883e-06,4.353080194524041e-09,2.5509049939910897e-08,9.45899484996463e-06,7.162344540047443e-05,4.45706752905002e-07
surface_adiabatic_5_temperature,0.004297986332647135,2.473749508113778e-05,8.88797326354355e-05,7.191560797199618e-07,0.0005704388211391782,0.00010267129273893637,0.0014042137670521925,0.0005068317932483342,0.9868745535255157,0.005006285942776338,2.032362562352925e-06,1.696266724185944e-06,1.3687434703857842e-06,2.1555802084210335e-05,2.1555802084210332e-05,1.850186734658559e-05,3.845784614958064e-05,0.00014077937880991492,0.00014077937880991494,1.0336312709938127e-07,1.983983190338658e-07,8.455842071734535e-07,8.455842071734537e-07,7.391216244199046e-05,2.1222434233222914e-07,3.386626759992433e-07,3.1369510631309886e-08,6.273902126261979e-08,9.10140064028986e-06,2.1472184083197183e-06,9.282931948259448e-09,5.439798121680037e-08,2.014886691174147e-05,0.00015257434951339034,9.501356050461988e-07
surface_adiabatic_6_temperature,0.0042979863326471366,2.473749508113778e-05,8.88797326354355e-05,7.191560797199618e-07,0.0005704388211391785,0.00010267129273893638,0.0014042137670521925,0.0005068317932483344,0.00500628594277634,0.9868745535255155,2.0323625623529245e-06,1.6962667241859444e-06,1.3687434703857842e-06,2.155580208421034e-05,2.1555802084210335e-05,1.850186734658559e-05,3.845784614958066e-05,0.00014077937880991497,0.00014077937880991497,1.0336312709938129e-07,1.9839831903386577e-07,8.455842071734536e-07,8.455842071734538e-07,7.391216244199046e-05,2.1222434233222922e-07,3.3866267599924345e-07,3.1369510631309886e-08,6.27390212626198e-08,9.10140064028986e-06,2.147218408319719e-06,9.28293194825945e-09,5.439798121680038e-08,2.0148866911741477e-05,0.00015257434951339036,9.50135605046199e-07
surface_adiabatic_7_temperature,2.643671814123699e-05,0.004680563676623956,5.196488478442861e-07,0.00014288403471224956,2.625206433211617e-06,4.72173630914317e-07,6.4574388774300925e-06,2.3307244258898907e-06,2.3038656958568524e-05,2.303865695856852e-05,0.9819821257058006,0.00042262380813250607,0.0003410215914531678,0.00536691067376682,0.005366910673766819,8.052940182114711e-08,1.6727636343685673e-07,6.127263691770935e-07,6.127263691770935e-07,2.7165765259443953e-05,5.2175901635005394e-05,0.00022224091412720832,0.0002222409141272084,3.4012227421535865e-07,5.284168595062548e-05,8.432353504639782e-05,7.810686611103014e-06,1.5621373222206028e-05,3.961101873166144e-08,9.345101040427544e-09,2.4398949899429383e-06,1.4297784641065617e-05,2.2587053548190742e-05,6.98035323673192e-07,0.00023792345837741487
surface_adiabatic_8_temperature,1.216784406252219e-05,0.0021582708026057764,2.3895929346249105e-07,6.580865275028493e-05,1.2053818584592807e-06,2.1680115610994222e-07,2.9649683070015563e-06,1.0701648418650074e-06,1.0578358778007204e-05,1.05783587780072e-05,0.00023249956090538607,0.9916750873305862,0.00015669408852806818,0.0024660241224843792,0.0024660241224843792,3.6960800325174603e-08,7.677510330882991e-08,2.8122467436696505e-07,2.81224674366965e-07,1.2476195580766123e-05,2.396229868250029e-05,0.00010206672452615169,0.0001020667245261517,1.5616946061760767e-07,2.4280043554591724e-05,3.8745529533571725e-05,3.588905382126682e-06,7.177810764253365e-06,1.8180373073069222e-08,4.289145514571163e-09,1.1205498482592369e-06,6.566422110799131e-06,1.0378422624907018e-05,3.2049453972185125e-07,0.00010931684669536875
surface_adiabatic_9_temperature,1.2167844062522195e-05,0.0021582708026057777,2.3895929346249115e-07,6.580865275028495e-05,1.2053818584592811e-06,2.1680115610994228e-07,2.9649683070015576e-06,1.0701648418650074e-06,1.0578358778007206e-05,1.0578358778007203e-05,0.00023249956090538615,0.00019418903103288852,0.9916375923880818,0.00246602412248438,0.0024660241224843797,3.6960800325174603e-08,7.677510330882992e-08,2.812246743669651e-07,2.812246743669651e-07,1.2476195580766127e-05,2.3962298682500294e-05,0.00010206672452615172,0.00010206672452615174,1.561694606176077e-07,2.428004355459173e-05,3.874552953357174e-05,3.5889053821266817e-06,7.177810764253367e-06,1.8180373073069226e-08,4.289145514571164e-09,1.1205498482592366e-06,6.56642211079913e-06,1.0378422624907018e-05,3.2049453972185125e-07,0.00010931684669536877
surface_adiabatic_10_temperature,2.5877876060055455e-05,0.00458195512896489,5.086459782272169e-07,0.00013986735019680483,2.5694690978965515e-06,4.6214857322354163e-07,6.320336287377755e-06,2.2812391173096386e-06,2.2549509272489523e-05,2.254950927248952e-05,0.0004952691794280566,0.000413662429397167,0.00033379051838266604,0.9871213785324602,0.0052531109497214795,7.881838906899825e-08,1.6372221732091027e-07,5.997077351050965e-07,5.997077351050965e-07,2.6589231223653586e-05,5.106857413243211e-05,0.00021752433478113998,0.00021752433478114004,3.329009291485945e-07,5.172123256250543e-05,8.253554155524998e-05,7.645069066554351e-06,1.5290138133108705e-05,3.876940077582995e-08,9.146545055590003e-09,2.3881135076660513e-06,1.3994345154923067e-05,2.2108116345734244e-05,6.832138045900475e-07,0.00023287805253658142
surface_adiabatic_11_temperature,2.5877876060055445e-05,0.004581955128964888,5.086459782272167e-07,0.00013986735019680478,2.5694690978965507e-06,4.6214857322354153e-07,6.320336287377754e-06,2.2812391173096386e-06,2.254950927248952e-05,2.254950927248951e-05,0.0004952691794280567,0.0004136624293971669,0.00033379051838266594,0.005253110949721479,0.9871213785324597,7.881838906899822e-08,1.6372221732091025e-07,5.997077351050964e-07,5.997077351050964e-07,2.6589231223653575e-05,5.1068574132432087e-05,0.00021752433478113996,0.00021752433478113998,3.329009291485944e-07,5.172123256250541e-05,8.253554155524997e-05,7.64506906655435e-06,1.5290138133108702e-05,3.8769400775829945e-08,9.146545055590001e-09,2.388113507666051e-06,1.3994345154923064e-05,2.2108116345734237e-05,6.832138045900474e-07,0.00023287805253658137
surface_adiabatic_12_temperature,0.0006274941481491215,3.4330387389649485e-06,0.002388096997447021,9.621932610769046e-08,7.079099439411065e-05,1.273568588984879e-05,0.00017417664407298113,6.286668235905761e-05,0.0006212640734773652,0.0006212640734773651,2.3853888133462506e-07,1.9901137194274127e-07,1.6058530889938272e-07,2.529969721977314e-06,2.5299697219773143e-06,0.9821331307277402,0.0013667312299872607,0.00499924814598189,0.00499924814598189,1.1666561727818177e-08,2.2385185975424495e-08,9.543947162052607e-08,9.543947162052609e-08,9.171957028670966e-06,2.49077466926772e-08,3.974720362119532e-08,3.681688048088035e-09,7.3633760961760725e-09,0.0003232194657460287,7.625450347772344e-05,1.0477213232109392e-09,6.139646954016105e-09,2.4998500514770042e-06,0.0006036982928114067,1.1107314650720521e-07
