scenario_name,building_name,parameter_set,linearization_type,initial_state_type,demand_controlled_ventilation_type,co2_model_type,humidity_model_type,heating_cooling_session,price_type,time_start,time_end,time_step
scenario_default,create_level8_4zones_a,create_parameters,create_linearization,create_initial_state,,,,,wholesale,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
scenario_full,create_level8_4zones_a,create_parameters,create_linearization,create_initial_state,demand_controlled_ventilation_default,co2_model_default,humidity_model_default,cooling,wholesale,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
paper_pesgm_2020,create_level8_4zones_a,create_parameters,create_linearization,create_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
validation_1zone_radiator,validation_1zone_radiator,create_parameters,create_linearization,mse_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
validation_1zone_no_window_no_mass,validation_1zone_no_window_no_mass,create_parameters,create_linearization,create_initial_state,,,,,,2017-01-01T00:00:00,2017-02-01T00:00:00,00:30:00
validation_1zone_no_window,validation_1zone_no_window,create_parameters,create_linearization,create_initial_state,,,,,,2017-01-01T00:00:00,2017-02-01T00:00:00,00:30:00
create_level8_1zone,create_level8_1zone,create_parameters,create_linearization,create_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
create_level8_2zones,create_level8_2zones,create_parameters,create_linearization,create_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
create_level8_3zones,create_level8_3zones,create_parameters,create_linearization,create_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
create_level8_4zones_a,create_level8_4zones_a,create_parameters,create_linearization,create_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
create_level8_4zones_b,create_level8_4zones_b,create_parameters,create_linearization,create_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
create_level8_5zones,create_level8_5zones,create_parameters,create_linearization,create_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
create_level8_6zones_a,create_level8_6zones_a,create_parameters,create_linearization,create_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
create_level8_6zones_b,create_level8_6zones_b,create_parameters,create_linearization,create_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
create_level8_7zones_a,create_level8_7zones_a,create_parameters,create_linearization,create_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
create_level8_7zones_b,create_level8_7zones_b,create_parameters,create_linearization,create_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
create_level8_8zones,create_level8_8zones,create_parameters,create_linearization,create_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
create_level8_9zones_a,create_level8_9zones_a,create_parameters,create_linearization,create_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
create_level8_9zones_b,create_level8_9zones_b,create_parameters,create_linearization,create_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
create_level8_10zones,create_level8_10zones,create_parameters,create_linearization,create_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
create_level8_11zones_a,create_level8_11zones_a,create_parameters,create_linearization,create_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
create_level8_11zones_b,create_level8_11zones_b,create_parameters,create_linearization,create_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
create_level8_11zones_c,create_level8_11zones_c,create_parameters,create_linearization,create_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
create_level8_12zones_a,create_level8_12zones_a,create_parameters,create_linearization,create_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
create_level8_12zones_b,create_level8_12zones_b,create_parameters,create_linearization,create_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
create_level8_13zones,create_level8_13zones,create_parameters,create_linearization,create_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
create_level8_14zones,create_level8_14zones,create_parameters,create_linearization,create_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_1,wtp_mix_medium_density_1,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_2,wtp_mix_medium_density_2,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_3,wtp_mix_medium_density_3,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_4,wtp_mix_medium_density_4,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_5,wtp_mix_medium_density_5,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_6,wtp_mix_medium_density_6,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_7,wtp_mix_medium_density_7,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_8,wtp_mix_medium_density_8,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_9,wtp_mix_medium_density_9,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_10,wtp_mix_medium_density_10,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_11,wtp_mix_medium_density_11,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_12,wtp_mix_medium_density_12,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_13,wtp_mix_medium_density_13,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_14,wtp_mix_medium_density_14,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_15,wtp_mix_medium_density_15,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_16,wtp_mix_medium_density_16,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_17,wtp_mix_medium_density_17,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_18,wtp_mix_medium_density_18,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_19,wtp_mix_medium_density_19,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_20,wtp_mix_medium_density_20,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_21,wtp_mix_medium_density_21,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_22,wtp_mix_medium_density_22,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00