building_name,zone_name,zone_type,zone_height,zone_area,zone_comment
create_level8_1zone,zone1,create_level8_open_plan_office,4.8,754.0,754
create_level8_2zones,zone1,create_level8_open_plan_office,4.8,367.0,367
create_level8_2zones,zone2,create_level8_open_plan_office,4.8,373.0,373
create_level8_3zones,zone1,create_level8_open_plan_office,4.8,303.0,303
create_level8_3zones,zone2,create_level8_open_plan_office,4.8,373.0,373
create_level8_3zones,zone3,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_4zones_a,zone1,create_level8_open_plan_office,4.8,295.0,295
create_level8_4zones_a,zone2,create_level8_open_plan_office,4.8,282.0,282
create_level8_4zones_a,zone3,create_level8_group_office,3.0,68.2968,3.98*17.16
create_level8_4zones_a,zone4,create_level8_group_office,3.0,95.36,4*23.84
create_level8_4zones_b,zone1,create_level8_open_plan_office,4.8,250.0,250
create_level8_4zones_b,zone2,create_level8_open_plan_office,4.8,358.0,358
create_level8_4zones_b,zone3,create_level8_open_plan_office,4.8,80.0,80
create_level8_4zones_b,zone4,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_5zones,zone1,create_level8_open_plan_office,4.8,235.0,235
create_level8_5zones,zone2,create_level8_open_plan_office,4.8,282.0,282
create_level8_5zones,zone3,create_level8_group_office,3.0,68.2968,3.98*17.16
create_level8_5zones,zone4,create_level8_group_office,3.0,95.36,4*23.84
create_level8_5zones,zone5,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_6zones_a,zone1,create_level8_open_plan_office,4.8,178.464,17.16*10.4
create_level8_6zones_a,zone2,create_level8_open_plan_office,4.8,248.8896,10.44*23.84
create_level8_6zones_a,zone3,create_level8_group_office,3.0,68.2968,3.98*17.16
create_level8_6zones_a,zone4,create_level8_group_office,3.0,95.36,4*23.84
create_level8_6zones_a,zone5,create_level8_open_plan_office,4.8,80.0,80
create_level8_6zones_a,zone6,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_6zones_b,zone1,create_level8_open_plan_office,4.8,295.0,295
create_level8_6zones_b,zone2,create_level8_open_plan_office,4.8,282.0,282
create_level8_6zones_b,zone3,create_level8_group_office,3.0,41.7502,3.98*(7.29+3.2)
create_level8_6zones_b,zone4,create_level8_group_office,3.0,25.3924,3.98*(3.2+3.18)
create_level8_6zones_b,zone5,create_level8_group_office,3.0,51.8,4*(3.25+3.2+6.5)
create_level8_6zones_b,zone6,create_level8_group_office,3.0,41.96,4*(3.2+7.29)
create_level8_7zones_a,zone1,create_level8_open_plan_office,4.8,178.464,17.16*10.4
create_level8_7zones_a,zone2,create_level8_open_plan_office,4.8,248.8896,10.44*23.84
create_level8_7zones_a,zone3,create_level8_group_office,3.0,68.2968,3.98*17.16
create_level8_7zones_a,zone4,create_level8_group_office,3.0,95.36,4*23.84
create_level8_7zones_a,zone5,create_level8_open_plan_office,4.8,52.0,52
create_level8_7zones_a,zone6,create_level8_open_plan_office,4.8,28.0,28
create_level8_7zones_a,zone7,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_7zones_b,zone1,create_level8_open_plan_office,4.8,235.0,235
create_level8_7zones_b,zone2,create_level8_open_plan_office,4.8,282.0,282
create_level8_7zones_b,zone3,create_level8_group_office,3.0,41.7502,3.98*(7.29+3.2)
create_level8_7zones_b,zone4,create_level8_group_office,3.0,25.3924,3.98*(3.2+3.18)
create_level8_7zones_b,zone5,create_level8_group_office,3.0,51.8,4*(3.25+3.2+6.5)
create_level8_7zones_b,zone6,create_level8_group_office,3.0,41.96,4*(3.2+7.29)
create_level8_7zones_b,zone7,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_8zones,zone1,create_level8_open_plan_office,4.8,178.464,17.16*10.4
create_level8_8zones,zone2,create_level8_open_plan_office,4.8,248.8896,10.44*23.84
create_level8_8zones,zone3,create_level8_group_office,3.0,68.2968,3.98*17.16
create_level8_8zones,zone4,create_level8_group_office,3.0,95.36,4*23.84
create_level8_8zones,zone5,create_level8_group_office,3.0,51.8,4*(3.25+3.2+6.5)
create_level8_8zones,zone6,create_level8_group_office,3.0,41.96,4*(3.2+7.29)
create_level8_8zones,zone7,create_level8_open_plan_office,4.8,80.0,80
create_level8_8zones,zone8,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_9zones_a,zone1,create_level8_open_plan_office,4.8,178.464,17.16*10.4
create_level8_9zones_a,zone2,create_level8_open_plan_office,4.8,248.8896,10.44*23.84
create_level8_9zones_a,zone3,create_level8_group_office,3.0,68.2968,3.98*17.16
create_level8_9zones_a,zone4,create_level8_group_office,3.0,95.36,4*23.84
create_level8_9zones_a,zone5,create_level8_group_office,3.0,51.8,4*(3.25+3.2+6.5)
create_level8_9zones_a,zone6,create_level8_group_office,3.0,41.96,4*(3.2+7.29)
create_level8_9zones_a,zone7,create_level8_open_plan_office,4.8,52.0,52
create_level8_9zones_a,zone8,create_level8_open_plan_office,4.8,28.0,28
create_level8_9zones_a,zone9,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_9zones_b,zone1,create_level8_open_plan_office,4.8,235.0,235
create_level8_9zones_b,zone2,create_level8_open_plan_office,4.8,282.0,282
create_level8_9zones_b,zone3,create_level8_group_office,3.0,29.0142,3.98*7.29
create_level8_9zones_b,zone4,create_level8_group_office,3.0,25.472,3.98*(3.2+3.2)
create_level8_9zones_b,zone5,create_level8_group_office,3.0,12.6564,3.98*3.18
create_level8_9zones_b,zone6,create_level8_group_office,3.0,25.8,4*(3.25+3.2)
create_level8_9zones_b,zone7,create_level8_group_office,3.0,38.8,4*(6.5+3.2)
create_level8_9zones_b,zone8,create_level8_group_office,3.0,29.16,4*7.29
create_level8_9zones_b,zone9,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_10zones,zone1,create_level8_open_plan_office,4.8,178.464,17.16*10.4
create_level8_10zones,zone2,create_level8_open_plan_office,4.8,248.8896,10.44*23.84
create_level8_10zones,zone3,create_level8_group_office,3.0,29.0142,3.98*7.29
create_level8_10zones,zone4,create_level8_group_office,3.0,25.472,3.98*(3.2+3.2)
create_level8_10zones,zone5,create_level8_group_office,3.0,12.6564,3.98*3.18
create_level8_10zones,zone6,create_level8_group_office,3.0,25.8,4*(3.25+3.2)
create_level8_10zones,zone7,create_level8_group_office,3.0,38.8,4*(6.5+3.2)
create_level8_10zones,zone8,create_level8_group_office,3.0,29.16,4*7.29
create_level8_10zones,zone9,create_level8_open_plan_office,4.8,80.0,80
create_level8_10zones,zone10,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_11zones_a,zone1,create_level8_open_plan_office,4.8,178.464,17.16*10.4
create_level8_11zones_a,zone2,create_level8_open_plan_office,4.8,248.8896,10.44*23.84
create_level8_11zones_a,zone3,create_level8_group_office,3.0,29.0142,3.98*7.29
create_level8_11zones_a,zone4,create_level8_group_office,3.0,25.472,3.98*(3.2+3.2)
create_level8_11zones_a,zone5,create_level8_group_office,3.0,12.6564,3.98*3.18
create_level8_11zones_a,zone6,create_level8_group_office,3.0,25.8,4*(3.25+3.2)
create_level8_11zones_a,zone7,create_level8_group_office,3.0,38.8,4*(6.5+3.2)
create_level8_11zones_a,zone8,create_level8_group_office,3.0,29.16,4*7.29
create_level8_11zones_a,zone9,create_level8_open_plan_office,4.8,52.0,52
create_level8_11zones_a,zone10,create_level8_open_plan_office,4.8,28.0,28
create_level8_11zones_a,zone11,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_11zones_b,zone1,create_level8_open_plan_office,4.8,235.0,235
create_level8_11zones_b,zone2,create_level8_open_plan_office,4.8,282.0,282
create_level8_11zones_b,zone3,create_level8_group_office,3.0,29.0142,3.98*7.29
create_level8_11zones_b,zone4,create_level8_group_office,3.0,12.736,3.98*3.2
create_level8_11zones_b,zone5,create_level8_group_office,3.0,12.736,3.98*3.2
create_level8_11zones_b,zone6,create_level8_group_office,3.0,12.6564,3.98*3.18
create_level8_11zones_b,zone7,create_level8_group_office,3.0,25.8,4*(3.25+3.2)
create_level8_11zones_b,zone8,create_level8_group_office,3.0,26.0,4*6.5
create_level8_11zones_b,zone9,create_level8_group_office,3.0,12.8,4*3.2
create_level8_11zones_b,zone10,create_level8_group_office,3.0,29.16,4*7.29
create_level8_11zones_b,zone11,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_11zones_c,zone1,create_level8_open_plan_office,4.8,295.0,295
create_level8_11zones_c,zone2,create_level8_open_plan_office,4.8,282.0,282
create_level8_11zones_c,zone3,create_level8_group_office,3.0,29.0142,3.98*7.29
create_level8_11zones_c,zone4,create_level8_group_office,3.0,12.736,3.98*3.2
create_level8_11zones_c,zone5,create_level8_group_office,3.0,12.736,3.98*3.2
create_level8_11zones_c,zone6,create_level8_group_office,3.0,12.6564,3.98*3.18
create_level8_11zones_c,zone7,create_level8_group_office,3.0,13.0,4*3.25
create_level8_11zones_c,zone8,create_level8_group_office,3.0,12.8,4*3.2
create_level8_11zones_c,zone9,create_level8_group_office,3.0,26.0,4*6.5
create_level8_11zones_c,zone10,create_level8_group_office,3.0,12.8,4*3.2
create_level8_11zones_c,zone11,create_level8_group_office,3.0,29.16,4*7.29
create_level8_12zones_a,zone1,create_level8_open_plan_office,4.8,178.464,17.16*10.4
create_level8_12zones_a,zone2,create_level8_open_plan_office,4.8,248.8896,10.44*23.84
create_level8_12zones_a,zone3,create_level8_group_office,3.0,29.0142,3.98*7.29
create_level8_12zones_a,zone4,create_level8_group_office,3.0,12.736,3.98*3.2
create_level8_12zones_a,zone5,create_level8_group_office,3.0,12.736,3.98*3.2
create_level8_12zones_a,zone6,create_level8_group_office,3.0,12.6564,3.98*3.18
create_level8_12zones_a,zone7,create_level8_group_office,3.0,25.8,4*(3.25+3.2)
create_level8_12zones_a,zone8,create_level8_group_office,3.0,26.0,4*6.5
create_level8_12zones_a,zone9,create_level8_group_office,3.0,12.8,4*3.2
create_level8_12zones_a,zone10,create_level8_group_office,3.0,29.16,4*7.29
create_level8_12zones_a,zone11,create_level8_open_plan_office,4.8,80.0,80
create_level8_12zones_a,zone12,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_12zones_b,zone1,create_level8_open_plan_office,4.8,235.0,235
create_level8_12zones_b,zone2,create_level8_open_plan_office,4.8,282.0,282
create_level8_12zones_b,zone3,create_level8_group_office,3.0,29.0142,3.98*7.29
create_level8_12zones_b,zone4,create_level8_group_office,3.0,12.736,3.98*3.2
create_level8_12zones_b,zone5,create_level8_group_office,3.0,12.736,3.98*3.2
create_level8_12zones_b,zone6,create_level8_group_office,3.0,12.6564,3.98*3.18
create_level8_12zones_b,zone7,create_level8_group_office,3.0,13.0,4*3.25
create_level8_12zones_b,zone8,create_level8_group_office,3.0,12.8,4*3.2
create_level8_12zones_b,zone9,create_level8_group_office,3.0,26.0,4*6.5
create_level8_12zones_b,zone10,create_level8_group_office,3.0,12.8,4*3.2
create_level8_12zones_b,zone11,create_level8_group_office,3.0,29.16,4*7.29
create_level8_12zones_b,zone12,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_13zones,zone1,create_level8_open_plan_office,4.8,178.464,17.16*10.4
create_level8_13zones,zone2,create_level8_open_plan_office,4.8,248.8896,10.44*23.84
create_level8_13zones,zone3,create_level8_group_office,3.0,29.0142,3.98*7.29
create_level8_13zones,zone4,create_level8_group_office,3.0,12.736,3.98*3.2
create_level8_13zones,zone5,create_level8_group_office,3.0,12.736,3.98*3.2
create_level8_13zones,zone6,create_level8_group_office,3.0,12.6564,3.98*3.18
create_level8_13zones,zone7,create_level8_group_office,3.0,13.0,4*3.25
create_level8_13zones,zone8,create_level8_group_office,3.0,12.8,4*3.2
create_level8_13zones,zone9,create_level8_group_office,3.0,26.0,4*6.5
create_level8_13zones,zone10,create_level8_group_office,3.0,12.8,4*3.2
create_level8_13zones,zone11,create_level8_group_office,3.0,29.16,4*7.29
create_level8_13zones,zone12,create_level8_open_plan_office,4.8,80.0,80
create_level8_13zones,zone13,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_14zones,zone1,create_level8_open_plan_office,4.8,178.464,17.16*10.4
create_level8_14zones,zone2,create_level8_open_plan_office,4.8,248.8896,10.44*23.84
create_level8_14zones,zone3,create_level8_group_office,3.0,29.0142,3.98*7.29
create_level8_14zones,zone4,create_level8_group_office,3.0,12.736,3.98*3.2
create_level8_14zones,zone5,create_level8_group_office,3.0,12.736,3.98*3.2
create_level8_14zones,zone6,create_level8_group_office,3.0,12.6564,3.98*3.18
create_level8_14zones,zone7,create_level8_group_office,3.0,13.0,4*3.25
create_level8_14zones,zone8,create_level8_group_office,3.0,12.8,4*3.2
create_level8_14zones,zone9,create_level8_group_office,3.0,26.0,4*6.5
create_level8_14zones,zone10,create_level8_group_office,3.0,12.8,4*3.2
create_level8_14zones,zone11,create_level8_group_office,3.0,29.16,4*7.29
create_level8_14zones,zone12,create_level8_open_plan_office,4.8,52.0,52
create_level8_14zones,zone13,create_level8_open_plan_office,4.8,28.0,28
create_level8_14zones,zone14,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
validation_1zone_no_window_no_mass,zone_1,validation_zone_empty,4,25,5*5
validation_1zone_no_window,zone_1,validation_zone_empty,4,25,5*5
validation_1zone_radiator,zone_1,validation_zone_empty_radiator,4,25,5*5
wtp_mix_medium_density_1,zone_1,wtp_office,3.5,46333.0,
wtp_mix_medium_density_2,zone_1,wtp_office,3.5,46333.0,
wtp_mix_medium_density_3,zone_1,wtp_office,3.5,67446.6,
wtp_mix_medium_density_4,zone_1,wtp_office,3.5,47598.4,
wtp_mix_medium_density_5,zone_1,wtp_office,3.5,67446.6,
wtp_mix_medium_density_6,zone_1,wtp_office,3.5,30971.8,
wtp_mix_medium_density_7,zone_1,wtp_office,3.5,111331.2,
wtp_mix_medium_density_8,zone_1,wtp_office,3.5,51819.7,
wtp_mix_medium_density_9,zone_1,wtp_office,3.5,34546.4,
wtp_mix_medium_density_10,zone_1,wtp_office,3.5,51819.7,
wtp_mix_medium_density_11,zone_1,wtp_office,3.5,34546.5,
wtp_mix_medium_density_12,zone_1,wtp_office,3.5,25909.8,
wtp_mix_medium_density_13,zone_1,wtp_office,3.5,34546.5,
wtp_mix_medium_density_14,zone_1,wtp_office,3.5,32532.3,
wtp_mix_medium_density_15,zone_1,wtp_office,3.5,32609.5,
wtp_mix_medium_density_16,zone_1,wtp_office,3.5,36407.7,
wtp_mix_medium_density_17,zone_1,wtp_office,3.5,35637.0,
wtp_mix_medium_density_18,zone_1,wtp_office,3.5,43662.8,
wtp_mix_medium_density_19,zone_1,wtp_office,3.5,33371.1,
wtp_mix_medium_density_20,zone_1,wtp_office,3.5,40115.0,
wtp_mix_medium_density_21,zone_1,wtp_office,3.5,93430.9,
wtp_mix_medium_density_22,zone_1,wtp_office,3.5,107844.9,